6326,ENSG00000136531
57492,ENSG00000049618
23126,ENSG00000143442
23522,ENSG00000156650
57459,ENSG00000143614
1499,ENSG00000168036
80816,ENSG00000141431
23389,ENSG00000123066
5813,ENSG00000185129
51322,ENSG00000095787
26040,ENSG00000152217
6942,ENSG00000100207
5528,ENSG00000112640
8831,ENSG00000197283
2903,ENSG00000183454
6334,ENSG00000196876
6934,ENSG00000148737
10087,ENSG00000113163
3756,ENSG00000143473
30000,ENSG00000105576
27161,ENSG00000123908
27245,ENSG00000126705
3996,ENSG00000131899
11011,ENSG00000146872
493901,ENSG00000258436
55209,ENSG00000168137
1106,ENSG00000173575
6651,ENSG00000159140
79813,ENSG00000181090
29123,ENSG00000167522
9320,ENSG00000153827
22827,ENSG00000179950
387119,ENSG00000111860
10716,ENSG00000136535
1213,ENSG00000141367
55023,ENSG00000146247
1859,ENSG00000157540
80204,ENSG00000138081
6812,ENSG00000136854
55669,ENSG00000171109
10847,ENSG00000080603
27086,ENSG00000114861
4297,ENSG00000118058
773,ENSG00000141837
1917,ENSG00000101210
3785,ENSG00000075043
6934,ENSG00000148737
26523,ENSG00000092847
84678,ENSG00000089094
7874,ENSG00000187555
10396,ENSG00000124406
22983,ENSG00000105613
2290,ENSG00000176165
5455,ENSG00000198914
100505591,ENSG00000204913
6154,ENSG00000161970
6217,ENSG00000105193
391,ENSG00000177105
6629,ENSG00000125870
375323,ENSG00000156959
51303,ENSG00000134285
6597,ENSG00000127616
9951,ENSG00000182601
283471,ENSG00000186452
343413,ENSG00000181036
6428,ENSG00000112081
5015,ENSG00000165588
27243,ENSG00000130724
55508,ENSG00000175782
283489,ENSG00000198824
57171,ENSG00000167130
149998,ENSG00000188992
146227,ENSG00000166546
6434,ENSG00000136527
341277,ENSG00000183378
89874,ENSG00000183032
3948,ENSG00000166796
1958,ENSG00000120738
7707,ENSG00000163848
5515,ENSG00000113575
192111,ENSG00000247077
1798,ENSG00000172269
29998,ENSG00000063169
86,ENSG00000136518
7846,ENSG00000167552
2766,ENSG00000137198
55843,ENSG00000075884
8936,ENSG00000112290
2060,ENSG00000085832
5500,ENSG00000213639
158038,ENSG00000174482
2782,ENSG00000078369
78999,ENSG00000173621
4661,ENSG00000196132
777,ENSG00000198216
163882,ENSG00000162852
10771,ENSG00000015171
5407,ENSG00000187021
23314,ENSG00000119042
55631,ENSG00000066557
6579,ENSG00000084453
148398,ENSG00000187634
200734,ENSG00000198369
2888,ENSG00000115290
28513,ENSG00000071991
51317,ENSG00000135365
23394,ENSG00000101126
55777,ENSG00000204406
53335,ENSG00000119866
27183,ENSG00000132612
26147,ENSG00000119403
4091,ENSG00000137834
8493,ENSG00000170836
83852,ENSG00000136169
55198,ENSG00000136044
10492,ENSG00000135316
6734,ENSG00000182934
6529,ENSG00000157103
